cod_mun,nome,pop_quilombola,pop_total,pct_quilombola
3152402,Poté - MG,6.0,13666,0.04
3104908,Baependi - MG,6.0,18366,0.03
3114709,Carvalhópolis - MG,5.0,3341,0.15
3150505,Pimenta - MG,5.0,8563,0.06
3145901,Ouro Branco - MG,5.0,38724,0.01
3131901,Itabirito - MG,5.0,53365,0.01
3130051,Icaraí de Minas - MG,5.0,10677,0.05
3138674,Luisburgo - MG,5.0,6956,0.07
3165909,Senador Modestino Gonçalves - MG,4.0,4008,0.1
3125408,Felício dos Santos - MG,4.0,5133,0.08
3127388,Goianá - MG,4.0,4053,0.1
3119302,Coromandel - MG,4.0,28894,0.01
3156007,Rio Vermelho - MG,4.0,12641,0.03
3161205,São Francisco de Paula - MG,4.0,6187,0.06
3136207,João Monlevade - MG,4.0,80187,0.0
3127503,Gonzaga - MG,4.0,5230,0.08
3171105,Veríssimo - MG,3.0,3411,0.09
3100203,Abaeté - MG,3.0,22675,0.01
3115409,Catas Altas da Noruega - MG,3.0,3110,0.1
3114006,Carmo da Mata - MG,3.0,11019,0.03
3156908,Sacramento - MG,3.0,26670,0.01
3121704,Diogo de Vasconcelos - MG,3.0,3549,0.08
3127800,Grão Mogol - MG,3.0,13901,0.02
3161601,São Geraldo da Piedade - MG,3.0,3305,0.09
3124302,Espinosa - MG,3.0,30443,0.01
3107109,Boa Esperança - MG,3.0,39848,0.01
3159407,Santa Rita de Ibitipoca - MG,3.0,3301,0.09
3170503,Urucânia - MG,2.0,10600,0.02
3148756,Pedra Bonita - MG,2.0,7320,0.03
3141405,Medina - MG,2.0,20156,0.01
3152170,Ponto dos Volantes - MG,2.0,10883,0.02
3121001,Datas - MG,2.0,5465,0.04
3107208,Bocaina de Minas - MG,2.0,5348,0.04
3132206,Itaguara - MG,2.0,13846,0.01
3126109,Formiga - MG,2.0,68248,0.0
3125705,Felixlândia - MG,2.0,13978,0.01
3100609,Água Boa - MG,2.0,12589,0.02
3161403,São Francisco do Glória - MG,1.0,4800,0.02
3160405,Santo Antônio do Monte - MG,1.0,27295,0.0
3108909,Brazópolis - MG,1.0,14246,0.01
3109105,Bueno Brandão - MG,1.0,10911,0.01
3157500,Santa Efigênia de Minas - MG,1.0,4039,0.02
3155306,Rio Manso - MG,1.0,5568,0.02
3152303,Porto Firme - MG,1.0,10569,0.01
3151503,Piumhi - MG,1.0,36062,0.0
3151305,Piraúba - MG,1.0,11610,0.01
3145000,Nova Ponte - MG,1.0,14598,0.01
3117108,Conceição da Aparecida - MG,1.0,10371,0.01
3142502,Monjolos - MG,1.0,2169,0.05
3142601,Monsenhor Paulo - MG,1.0,8340,0.01
3118700,Coqueiral - MG,1.0,9023,0.01
3141702,Mesquita - MG,1.0,5040,0.02
3140506,Martinho Campos - MG,1.0,14003,0.01
3139201,Malacacheta - MG,1.0,17516,0.01
3137601,Lagoa Santa - MG,1.0,75145,0.0
3137809,Lambari - MG,1.0,20414,0.0
3120904,Curvelo - MG,1.0,80665,0.0
3135506,Jequeri - MG,1.0,12419,0.01
3133709,Itatiaiuçu - MG,1.0,12966,0.01
3134707,Jacinto - MG,1.0,11042,0.01
3124104,Esmeraldas - MG,1.0,85598,0.0
3124500,Estiva - MG,1.0,11502,0.01
3130507,Ilicínea - MG,1.0,12741,0.01
3130705,Indianópolis - MG,1.0,6171,0.02
3129004,Guiricema - MG,1.0,7778,0.01
3170107,Uberaba - MG,1.0,337836,0.0
3102100,Alto Rio Doce - MG,1.0,10891,0.01
3102605,Andradas - MG,1.0,40553,0.0
3102704,Cachoeira de Pajeú - MG,0.0,9110,0.0
3168200,Tapiraí - MG,0.0,1690,0.0
3168309,Taquaraçu de Minas - MG,0.0,4224,0.0
3168408,Tarumirim - MG,0.0,14709,0.0
3103603,Arantina - MG,0.0,2915,0.0
3103702,Araponga - MG,0.0,8048,0.0
3103751,Araporã - MG,0.0,8479,0.0
3103801,Arapuá - MG,0.0,2631,0.0
3103900,Araújos - MG,0.0,9199,0.0
3104106,Arceburgo - MG,0.0,9177,0.0
3104205,Arcos - MG,0.0,41416,0.0
3104304,Areado - MG,0.0,13881,0.0
3104403,Argirita - MG,0.0,2688,0.0
3104452,Aricanduva - MG,0.0,4719,0.0
3104502,Arinos - MG,0.0,17272,0.0
3104601,Astolfo Dutra - MG,0.0,14138,0.0
3168507,Teixeiras - MG,0.0,12255,0.0
3130002,Ibituruna - MG,0.0,2698,0.0
3130101,Igarapé - MG,0.0,45847,0.0
3130200,Igaratinga - MG,0.0,10830,0.0
3130309,Iguatama - MG,0.0,6826,0.0
3100302,Abre Campo - MG,0.0,13927,0.0
3171154,Vermelho Novo - MG,0.0,4899,0.0
3171204,Vespasiano - MG,0.0,129246,0.0
3171402,Vieiras - MG,0.0,3700,0.0
3171501,Mathias Lobato - MG,0.0,3038,0.0
3171709,Virgínia - MG,0.0,8908,0.0
3171808,Virginópolis - MG,0.0,10314,0.0
3101904,Alpinópolis - MG,0.0,18300,0.0
3102001,Alterosa - MG,0.0,13915,0.0
3170057,Ubaporanga - MG,0.0,13017,0.0
3170305,Umburatiba - MG,0.0,2684,0.0
3170438,União de Minas - MG,0.0,3828,0.0
3131406,Ipiaçu - MG,0.0,3775,0.0
3131505,Ipuiúna - MG,0.0,9135,0.0
3131604,Iraí de Minas - MG,0.0,7180,0.0
3131802,Itabirinha - MG,0.0,10362,0.0
3132008,Itacambira - MG,0.0,4252,0.0
3128709,Guaxupé - MG,0.0,50911,0.0
3128907,Guimarânia - MG,0.0,8478,0.0
3129103,Gurinhatã - MG,0.0,5192,0.0
3129202,Heliodora - MG,0.0,6134,0.0
3129301,Iapu - MG,0.0,12030,0.0
3129400,Ibertioga - MG,0.0,5198,0.0
3129608,Ibiaí - MG,0.0,6286,0.0
3129657,Ibiracatu - MG,0.0,5081,0.0
3129707,Ibiraci - MG,0.0,10948,0.0
3129806,Ibirité - MG,0.0,170537,0.0
3129905,Ibitiúra de Minas - MG,0.0,3365,0.0
3123809,Engenheiro Navarro - MG,0.0,6354,0.0
3123858,Entre Folhas - MG,0.0,5179,0.0
3123908,Entre Rios de Minas - MG,0.0,14746,0.0
3124005,Ervália - MG,0.0,20255,0.0
3124203,Espera Feliz - MG,0.0,24102,0.0
3124401,Espírito Santo do Dourado - MG,0.0,6611,0.0
3124609,Estrela Dalva - MG,0.0,2186,0.0
3130408,Ijaci - MG,0.0,7003,0.0
3130556,Imbé de Minas - MG,0.0,6986,0.0
3130606,Inconfidentes - MG,0.0,7301,0.0
3130804,Ingaí - MG,0.0,2580,0.0
3130903,Inhapim - MG,0.0,22692,0.0
3131000,Inhaúma - MG,0.0,6239,0.0
3131109,Inimutaba - MG,0.0,7371,0.0
3131158,Ipaba - MG,0.0,17136,0.0
3131208,Ipanema - MG,0.0,19522,0.0
3133600,Itapeva - MG,0.0,12692,0.0
3133758,Itaú de Minas - MG,0.0,14406,0.0
3133907,Itaverava - MG,0.0,5642,0.0
3134103,Itueta - MG,0.0,6055,0.0
3134301,Itumirim - MG,0.0,6638,0.0
3134400,Iturama - MG,0.0,38295,0.0
3134509,Itutinga - MG,0.0,4217,0.0
3134806,Jacuí - MG,0.0,7495,0.0
3134905,Jacutinga - MG,0.0,25525,0.0
3132404,Itajubá - MG,0.0,93073,0.0
3132602,Itamarati de Minas - MG,0.0,3690,0.0
3123304,Dores do Turvo - MG,0.0,4987,0.0
3123403,Doresópolis - MG,0.0,1461,0.0
3123502,Douradoquara - MG,0.0,1829,0.0
3123528,Durandé - MG,0.0,7817,0.0
3123700,Engenheiro Caldas - MG,0.0,13622,0.0
3122108,Divino das Laranjeiras - MG,0.0,4178,0.0
3122207,Divinolândia de Minas - MG,0.0,6516,0.0
3122306,Divinópolis - MG,0.0,231091,0.0
3122355,Divisa Alegre - MG,0.0,6321,0.0
3122405,Divisa Nova - MG,0.0,5851,0.0
3122454,Divisópolis - MG,0.0,10213,0.0
3122470,Dom Bosco - MG,0.0,3697,0.0
3122504,Dom Cavati - MG,0.0,4904,0.0
3122801,Dom Viçoso - MG,0.0,3095,0.0
3122900,Dona Euzébia - MG,0.0,6093,0.0
3123007,Dores de Campos - MG,0.0,10007,0.0
3132800,Itambé do Mato Dentro - MG,0.0,2142,0.0
3132909,Itamogi - MG,0.0,10770,0.0
3133006,Itamonte - MG,0.0,14786,0.0
3133105,Itanhandu - MG,0.0,15236,0.0
3133204,Itanhomi - MG,0.0,11128,0.0
3136504,Jordânia - MG,0.0,10304,0.0
3136553,José Raydan - MG,0.0,4268,0.0
3136579,Josenópolis - MG,0.0,3630,0.0
3136603,Nova União - MG,0.0,5909,0.0
3136652,Juatuba - MG,0.0,30716,0.0
3136702,Juiz de Fora - MG,0.0,540756,0.0
3136801,Juramento - MG,0.0,3768,0.0
3136900,Juruaia - MG,0.0,11084,0.0
3137205,Lagoa da Prata - MG,0.0,51412,0.0
3137304,Lagoa dos Patos - MG,0.0,3313,0.0
3137403,Lagoa Dourada - MG,0.0,12769,0.0
3135001,Jaguaraçu - MG,0.0,3092,0.0
3135076,Jampruca - MG,0.0,4296,0.0
3135308,Japaraíba - MG,0.0,4506,0.0
3135357,Japonvar - MG,0.0,8127,0.0
3135407,Jeceaba - MG,0.0,6197,0.0
3137536,Lagoa Grande - MG,0.0,8969,0.0
3137700,Lajinha - MG,0.0,20835,0.0
3138005,Laranjal - MG,0.0,5963,0.0
3120706,Cruzeiro da Fortaleza - MG,0.0,3521,0.0
3120805,Cruzília - MG,0.0,15362,0.0
3120839,Cuparaque - MG,0.0,3983,0.0
3120870,Curral de Dentro - MG,0.0,7406,0.0
3121100,Delfim Moreira - MG,0.0,7952,0.0
3121209,Delfinópolis - MG,0.0,8393,0.0
3121258,Delta - MG,0.0,10494,0.0
3121308,Descoberto - MG,0.0,4928,0.0
3121407,Desterro de Entre Rios - MG,0.0,7653,0.0
3123205,Dores do Indaiá - MG,0.0,12630,0.0
3135902,Jesuânia - MG,0.0,5138,0.0
3136108,Joanésia - MG,0.0,4329,0.0
3136405,Joaquim Felício - MG,0.0,3854,0.0
3125101,Extrema - MG,0.0,53482,0.0
3125200,Fama - MG,0.0,2578,0.0
3125309,Faria Lemos - MG,0.0,3188,0.0
3125804,Fernandes Tourinho - MG,0.0,2789,0.0
3125952,Fervedouro - MG,0.0,10445,0.0
3126000,Florestal - MG,0.0,8045,0.0
3127370,Goiabeira - MG,0.0,2830,0.0
3127404,Gonçalves - MG,0.0,4727,0.0
3127909,Grupiara - MG,0.0,1392,0.0
3128105,Guapé - MG,0.0,13772,0.0
3128253,Guaraciama - MG,0.0,5051,0.0
3128303,Guaranésia - MG,0.0,19150,0.0
